year,file,county,inspector,status,noncompliant,violations,701.10,701.20,701.30,701.40,701.50,701.60,701.70,701.80,701.90,701.100,701.110,701.120,701.130,701.140,701.150,701.160,701.170,701.180,701.190,701.200,701.210,701.220,701.230,701.240,701.250,701.260,701.270,701.280,701.290
2017,hardin-county-2017-jail-inspection.pdf,Hardin County,Dianne Fritscle,NONCOMPLIANT,1,701.140,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2017,henderson-county-2017-jail-inspection.pdf,Henderson County,Michael Leathers,NONCOMPLIANT,1,"701.10, 701.130, 701.140, 701.20",1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
2017,henry-county-2017-jail-inspection.pdf,Henry County,Michael Leathers,COMPLIANT,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,iroquois-county-2017-jail-inspection.pdf,Iroquois County,Stephanie Rawlings,NONCOMPLIANT,1,"701.10, 701.50, 701.70, 701.130, 701.140, 701.170, 701.160, 701.150",1,,,,1,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,
2017,jackson-county-2017-jail-inspection.pdf,Jackson County,Dianne Fritscle,COMPLIANT,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,jasper-county-2017-jail-inspection.pdf,Jasper County,Dianne Fritscle,NONCOMPLIANT,1,701.140,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2017,jefferson-county-2017-jail-inspection.pdf,Jefferson County,Dianne Fritscle,COMPLIANT,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,jerome-combs-and-kankakee-county-2017-jail-inspection.pdf,Jerome Combs And Kankakee County,Errica Weatherspoon,COMPLIANT,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,jersey-county-2017-jail-inspection.pdf,Jersey County,Stephanie Rawlings,NONCOMPLIANT,1,"701.20, 701.140, 701.130, 701.150, 701.110, 701.70",,1,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,
2017,jo-daviess-county-2017-jail-inspection.pdf,Jo Daviess County,Michael Leathers,NONCOMPLIANT,1,701.130,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2017,kane-county-2017-jail-inspection.pdf,Kane County,Michael Leathers,NONCOMPLIANT,1,701.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,kendall-county-2017-jail-inspection.pdf,Kendall County,Michael Leathers,COMPLIANT,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,knox-county-2017-jail-inspection.pdf,Knox County,Michael Leathers,COMPLIANT,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,lake-county-2017-jail-inspection.pdf,Lake County,Errica Weatherspoon,NONCOMPLIANT,1,701.110,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2017,lasalle-county-2017-jail-inspection.pdf,Lasalle County,Michael Leathers,COMPLIANT,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,lawrence-county-2017-jail-inspection.pdf,Lawrence County,Dianne Fritscle,NONCOMPLIANT,1,"701.130, 701.140",,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
