countyName,capacity,jailCityName,fips_population,usda_rucc,usda_classification,peer_group,has_jail,incidents,incidents_per_10k,deaths,deaths_counted_by_state,deaths_never_counted
LaSalle,306,Ottawa,108390,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",nonmetro-urban,yes,90,8.3,3,2,1
Lawrence,21,Lawrenceville,14801,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",rural,yes,16,10.8,0,0,0
Lee,94,Dixon,33544,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,6,1.8,2,0,2
Livingston,179,Pontiac,35375,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,57,16.1,1,0,1
Logan,48,Lincoln,27518,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,25,9.1,0,0,0
Macon,402,Decatur,100737,3,"Metro - Counties in metro areas of fewer than 250,000 population",metro,yes,468,46.5,2,1,1
Macoupin,93,Carlinville,43895,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,153,34.9,1,1,0
Madison,328,Edwardsville,263017,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,1356,51.6,8,3,5
Marion,116,Salem,36437,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",rural,yes,39,10.7,3,2,1
Marshall,16,Lacon,11552,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,3,2.6,1,1,0
Mason,44,Havana,12543,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",rural,yes,10,8,0,0,0
Massac,40,Metropolis,13627,3,"Metro - Counties in metro areas of fewer than 250,000 population",metro,yes,1,0.7,2,1,1
McDonough,58,Macomb,26662,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",rural,yes,2,0.8,1,1,0
McHenry,650,Woodstock,315959,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,436,13.8,6,4,2
McLean,455,Bloomington,172069,3,"Metro - Counties in metro areas of fewer than 250,000 population",metro,yes,92,5.3,1,1,0
Menard,26,Petersburg,11963,3,"Metro - Counties in metro areas of fewer than 250,000 population",metro,yes,7,5.9,0,0,0
Mercer,102,Aledo,15292,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,2,1.3,0,0,0
Monroe,42,Waterloo,34969,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,21,6,1,1,0
Montgomery,42,Hillsboro,27615,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,5,1.8,2,1,1
Morgan,65,Jacksonville,32618,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",nonmetro-urban,yes,67,20.5,1,1,0
Moultrie,58,Sullivan,14365,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",rural,yes,10,7,0,0,0
Ogle,162,Oregon,51345,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,59,11.5,0,0,0
Peoria,492,Peoria,179630,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,1954,108.8,7,5,2
Perry,56,Pinckneyville,20272,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",rural,yes,14,6.9,0,0,0
Piatt,77,Monticello,16628,3,"Metro - Counties in metro areas of fewer than 250,000 population",metro,yes,3,1.8,0,0,0
Pike,60,Pittsfield,14258,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",rural,yes,8,5.6,1,0,1
Pope,,,3703,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",rural,no,0,0,0,0,0
Pulaski,205,Ullin,4879,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",rural,yes,5,10.2,6,2,4
Putnam,5,Hennepin,5633,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",rural,yes,0,0,0,0,0
Randolph,44,Chester,29903,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,0,0,1,1,0
Richland,63,Olney,15362,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",rural,yes,4,2.6,1,1,0
Rock Island,325,Rock Island,142731,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,148,10.4,1,1,0
Saline,108,Harrisburg,22826,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",rural,yes,8,3.5,2,1,1
Sangamon,314,Springfield,194345,3,"Metro - Counties in metro areas of fewer than 250,000 population",metro,yes,1441,74.1,4,2,2
Schuyler,21,Rushville,6750,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",rural,yes,30,44.4,0,0,0
Scott,,,4880,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",rural,no,0,0,0,0,0
Shelby,26,Shelbyville,20542,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",rural,yes,3,1.5,2,2,0
St. Clair,422,Belleville,251149,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,573,22.8,8,4,4
Stark,,,5272,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,1,1.9,2,2,0
Stephenson,216,Freeport,43088,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",nonmetro-urban,yes,160,37.1,0,0,0
Tazewell,236,Pekin,129821,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,285,22,4,3,1
Union,,,16886,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,no,0,0,0,0,0
Vermilion,390,Danville,71106,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",nonmetro-urban,yes,83,11.7,7,5,2
Wabash,20,Carmel,10979,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",rural,yes,2,1.8,0,0,0
Warren,22,Monmouth,16217,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,10,6.2,0,0,0
Washington,30,Nashville,13535,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",rural,yes,16,11.8,0,0,0
Wayne,28,Fairfield,15928,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",rural,yes,10,6.3,0,0,0
White,78,Carmi,13395,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",nonmetro-urban,yes,7,5.2,1,0,1
Whiteside,129,Morrison,54657,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",nonmetro-urban,yes,6,1.1,3,3,0
Will,909,Joliet,708583,1,Metro - Counties in metro areas of 1 million population or more,metro,yes,652,9.2,9,8,1
Williamson,240,Marion,67064,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",nonmetro-urban,yes,353,52.6,1,1,0
Winnebago,1324,Rockford,283790,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,488,17.2,8,3,5
Woodford,86,Eureka,38290,2,"Metro - Counties in metro areas of 250,000 to 1 million population",metro,yes,0,0,1,1,0
