year,county,inspector,status,noncompliant
2018,Cook County,NOT FOUND,COMPLIANT,0
2018,Crawford County,Dianne Fritscle,NONCOMPLIANT,1
2018,Cumberland County,Dianne Fritscle,NONCOMPLIANT,1
2018,Dekalb County,Michael Leathers,COMPLIANT,0
2018,Dewitt County,Stephanie Rawlings,NONCOMPLIANT,1
2018,Douglas County,Stephanie Rawlings,NONCOMPLIANT,1
2018,Dupage County,Errica Weatherspoon,COMPLIANT,0
2018,Edgar County,Melissa Pelker,NONCOMPLIANT,1
2018,Effingham County,Dianne Fritscle,COMPLIANT,0
2018,Fayette County,Dianne Fritscle,COMPLIANT,0
2018,Ford County,Melissa Pelker,NONCOMPLIANT,1
2018,Franklin County,Dianne Fritscle,NONCOMPLIANT,1
2018,Fulton County,Melissa Pelker,NONCOMPLIANT,1
2018,Greene County,Melissa Pelker,NONCOMPLIANT,1
2018,Grundy County,Michael Leathers,COMPLIANT,0
2018,Hancock County,Melissa Pelker,NONCOMPLIANT,1
2018,Hardin County,Dianne Fritscle,NONCOMPLIANT,1
2018,Henderson County,Michael Leathers,NONCOMPLIANT,1
2018,Henry County,Michael Leathers,NONCOMPLIANT,1
2018,Iroquois County,Melissa Pelker,NONCOMPLIANT,1
2018,Jackson County,Dianne Fritscle,COMPLIANT,0
2018,Jasper County,Dianne Fritscle,NONCOMPLIANT,1
2018,Jefferson County,Dianne Fritscle,NONCOMPLIANT,1
2018,Jerome Combs And Kankakee County,Errica Weatherspoon,COMPLIANT,0
2018,Jersey County,Melissa Pelker,NONCOMPLIANT,1
2018,Jo Daviess County,Michael Leathers,NONCOMPLIANT,1
2018,Kane County,Michael Leathers,COMPLIANT,0
2018,Kendall County,Michael Leathers,COMPLIANT,0
2018,Knox County,Michael Leathers,COMPLIANT,0
2018,Lake County,Errica Weatherspoon,COMPLIANT,0
2018,Lasalle County,Michael Leathers,COMPLIANT,0
2018,Lawrence County,Dianne Fritscle,NONCOMPLIANT,1
2018,Lee County,Michael Leathers,NONCOMPLIANT,1
2018,Livingston County,Melissa Pelker,COMPLIANT,0
2018,Logan County,Melissa Pelker,COMPLIANT,0
2018,Macon County,Stephanie Rawlings,COMPLIANT,0
2018,Macoupin County,Melissa Pelker,COMPLIANT,0
2018,Madison County,Dianne Fritscle,NONCOMPLIANT,1
2018,Marion County,Dianne Fritscle,COMPLIANT,0
2018,Marshall County,Michael Leathers,COMPLIANT,0
2018,Mason County,Melissa Pelker,NONCOMPLIANT,1
2018,Massac County,Dianne Fritscle,NONCOMPLIANT,1
2018,Mcdonough County,Melissa Pelker,COMPLIANT,0
2018,Mchenry County,Michael Leathers,NONCOMPLIANT,1
2018,Mclean County,Melissa Pelker,COMPLIANT,0
2018,Menard County,Melissa Pelker,NONCOMPLIANT,1
2018,Mercer County,Michael Leathers,COMPLIANT,0
2018,Monroe County,Dianne Fritscle,NONCOMPLIANT,1
2018,Montgomery County,Melissa Pelker,NONCOMPLIANT,1
2018,Morgan County,Stephanie Rawlings,NONCOMPLIANT,1
2018,Moultrie County,Stephanie Rawlings,NONCOMPLIANT,1
2018,Ogle County,Michael Leathers,NONCOMPLIANT,1
2018,Peoria County,Melissa Pelker,COMPLIANT,0
2018,Perry County,Dianne Fritscle,NONCOMPLIANT,1
2018,Piatt County,Stephanie Rawlings,NONCOMPLIANT,1
2018,Pike County,Melissa Pelker,COMPLIANT,0
2018,Pulaski County,Dianne Fritscle,COMPLIANT,0
2018,Putnam County,Michael Leathers,COMPLIANT,0
2018,Randolph County,Dianne Fritscle,NONCOMPLIANT,1
2018,Richland County,Dianne Fritscle,NONCOMPLIANT,1
2018,Rock Island County,Michael Leathers,COMPLIANT,0
2018,Saline County,Dianne Fritscle,NONCOMPLIANT,1
2018,Sangamon County,Melissa Pelker,NONCOMPLIANT,1
2018,Schuyler County,Melissa Pelker,COMPLIANT,0
2018,Shelby County,Melissa Pelker,NONCOMPLIANT,1
2018,St Clair County,Dianne Fritscle,COMPLIANT,0
2018,Stark County,Michael Leathers,NONCOMPLIANT,1
2018,Stephenson County,Michael Leathers,COMPLIANT,0
2018,Tazewell County,Melissa Pelker,COMPLIANT,0
2018,Vermilion County,Melissa Pelker,COMPLIANT,0
2018,Wabash County,Dianne Fritscle,NONCOMPLIANT,1
2018,Warren County,Michael Leathers,NONCOMPLIANT,1
2018,Washington County,Dianne Fritscle,COMPLIANT,0
2018,Wayne County,Dianne Fritscle,COMPLIANT,0
2018,White County,Dianne Fritscle,COMPLIANT,0
2018,Whiteside County,Michael Leathers,COMPLIANT,0
2018,Will County,Errica Weatherspoon,COMPLIANT,0
2018,Williamson County,Dianne Fritscle,COMPLIANT,0
2018,Winnebago County,Michael Leathers,NONCOMPLIANT,1
2018,Woodford County,Melissa Pelker,COMPLIANT,0
2019,Adams County,Melissa Pelker,NONCOMPLIANT,1
2019,Bond County,Dianne Fritscle,NONCOMPLIANT,1
2019,Boone County,Michael Leathers,COMPLIANT,0
2019,Bureau County,Michael Leathers,COMPLIANT,0
2019,Calhoun County,Melissa Pelker,NONCOMPLIANT,1
2019,Carroll County,Michael Leathers,COMPLIANT,0
2019,Champaign County,Melissa Pelker,COMPLIANT,0
2019,Christian County,Melissa Pelker,COMPLIANT,0
2019,Clark County,Dianne Fritscle,NONCOMPLIANT,1
2019,Clay County,Dianne Fritscle,NONCOMPLIANT,1
2019,Clinton County,Dianne Fritscle,NONCOMPLIANT,1
2019,Coles County,Melissa Pelker,COMPLIANT,0
2019,Cook County,Errica Weatherspoon,NONCOMPLIANT,1
2019,Crawford County,Dianne Fritscle,NONCOMPLIANT,1
2019,Cumberland County,Dianne Fritscle,NONCOMPLIANT,1
2019,Dekalb County,Michael Leathers,COMPLIANT,0
2019,Dewitt County,Melissa Pelker,COMPLIANT,0
2019,Douglas County,Melissa Pelker,NONCOMPLIANT,1
2019,Dupage County,Errica Weatherspoon,COMPLIANT,0
2019,Edgar County,Melissa Pelker,NONCOMPLIANT,1
2019,Effingham County,Dianne Fritscle,COMPLIANT,0
2019,Fayette County,Dianne Fritscle,COMPLIANT,0
2019,Ford County,Melissa Pelker,COMPLIANT,0
2019,Franklin County,Dianne Fritscle,COMPLIANT,0
2019,Fulton County,Melissa Pelker,COMPLIANT,0
2019,Greene County,Melissa Pelker,NONCOMPLIANT,1
2019,Grundy County,Michael Leathers,COMPLIANT,0
2019,Hancock County,Melissa Pelker,NONCOMPLIANT,1
2019,Hardin County,Dianne Fritscle,COMPLIANT,0
2019,Henderson County,Michael Leathers,NONCOMPLIANT,1
2019,Henry County,Michael Leathers,COMPLIANT,0
2019,Iroquois County,Melissa Pelker,NONCOMPLIANT,1
2019,Jackson County,Dianne Fritscle,COMPLIANT,0
2019,Jasper County,Dianne Fritscle,NONCOMPLIANT,1
2019,Jefferson County,Dianne Fritscle,COMPLIANT,0
2019,Jersey County,Melissa Pelker,COMPLIANT,0
2019,Jodaviess County,Michael Leathers,NONCOMPLIANT,1
2019,Kane County,Michael Leathers,COMPLIANT,0
2019,Kankakee County,Errica Weatherspoon,COMPLIANT,0
2019,Kendall County,Michael Leathers,COMPLIANT,0
2019,Knox County,Michael Leathers,NONCOMPLIANT,1
2019,Lake County,Errica Weatherspoon,COMPLIANT,0
2019,Lasalle County,Michael Leathers,COMPLIANT,0
2019,Lawrence County,Dianne Fritscle,NONCOMPLIANT,1
2019,Lee County,Michael Leathers,NONCOMPLIANT,1
2019,Livingston County,Melissa Pelker,COMPLIANT,0
2019,Logan County,Melissa Pelker,COMPLIANT,0
2019,Macon County,Melissa Pelker,COMPLIANT,0
2019,Macoupin County,Melissa Pelker,COMPLIANT,0
2019,Madison County,Dianne Fritscle,COMPLIANT,0
2019,Marion County,Dianne Fritscle,COMPLIANT,0
2019,Marshall County,Michael Leathers,COMPLIANT,0
2019,Mason County,Melissa Pelker,NONCOMPLIANT,1
2019,Massac County,Dianne Fritscle,NONCOMPLIANT,1
2019,Mcdonough County,Melissa Pelker,COMPLIANT,0
2019,Mchenry County,Michael Leathers,COMPLIANT,0
2019,Mclean County,Melissa Pelker,COMPLIANT,0
2019,Menard County,Melissa Pelker,NONCOMPLIANT,1
2019,Mercer County,Michael Leathers,NONCOMPLIANT,1
2019,Monroe County,Dianne Fritscle,COMPLIANT,0
2019,Montgomery County,Melissa Pelker,NONCOMPLIANT,1
2019,Morgan County,Melissa Pelker,NONCOMPLIANT,1
2019,Moultrie County,Melissa Pelker,COMPLIANT,0
2019,Ogle County,Michael Leathers,NONCOMPLIANT,1
2019,Peoria County,Melissa Pelker,COMPLIANT,0
2019,Perry County,Dianne Fritscle,NONCOMPLIANT,1
2019,Piatt County,Melissa Pelker,NONCOMPLIANT,1
2019,Pike County,Melissa Pelker,COMPLIANT,0
2019,Pulaski County,Dianne Fritscle,COMPLIANT,0
2019,Putnam County,Michael Leathers,COMPLIANT,0
2019,Randolph County,Dianne Fritscle,NONCOMPLIANT,1
2019,Richland County,Dianne Fritscle,NONCOMPLIANT,1
2019,Rock Island County,Michael Leathers,COMPLIANT,0
2019,Saline County,Dianne Fritscle,NONCOMPLIANT,1
2019,Sangamon County,Melissa Pelker,NONCOMPLIANT,1
2019,Schuyler County,Melissa Pelker,COMPLIANT,0
2019,Shelby County,Melissa Pelker,COMPLIANT,0
2019,St Clair County,Dianne Fritscle,COMPLIANT,0
2019,Stark County,Michael Leathers,NONCOMPLIANT,1
2019,Stephenson County,Michael Leathers,NONCOMPLIANT,1
2019,Tazewell County,Melissa Pelker,COMPLIANT,0
2019,Vermilion County,Melissa Pelker,COMPLIANT,0
2019,Wabash County,Dianne Fritscle,NONCOMPLIANT,1
2019,Warren County,Michael Leathers,NONCOMPLIANT,1
2019,Washington County,Dianne Fritscle,COMPLIANT,0
2019,Wayne County,Dianne Fritscle,COMPLIANT,0
2019,White County,Dianne Fritscle,COMPLIANT,0
2019,Whiteside County,Michael Leathers,COMPLIANT,0
2019,Will County,Errica Weatherspoon,COMPLIANT,0
2019,Williamson County,Dianne Fritscle,COMPLIANT,0
2019,Winnebago County,Michael Leathers,COMPLIANT,0
2019,Woodford County,Melissa Pelker,COMPLIANT,0
2020,Adams County,Michael Leathers,NONCOMPLIANT,1
2020,Bond County,Kathy Melvin,NONCOMPLIANT,1
2020,Boone County,Michael Leathers,NONCOMPLIANT,1
2020,Bureau County,Michael Leathers,NONCOMPLIANT,1
2020,Carroll County,Michael Leathers,NONCOMPLIANT,1
2020,Champaign County,Errica Weatherspoon,COMPLIANT,0
2020,Christian County,Bob Bowen,NONCOMPLIANT,1
2020,Clark County,Kathy Melvin,NONCOMPLIANT,1
2020,Clay County,Kathy Melvin,NONCOMPLIANT,1
2020,Clinton County,Dianne Fritscle,NONCOMPLIANT,1
2020,Coles County,Stephanie Rawlings,NONCOMPLIANT,1
2020,Cook County,Errica Weatherspoon,NONCOMPLIANT,1
2020,Crawford County,Dianne Fritscle,COMPLIANT,0
2020,Cumberland County,Kathy Melvin,NONCOMPLIANT,1
2020,Dekalb County,Michael Leathers,COMPLIANT,0
2020,Dewitt County,Stephanie Rawlings,NONCOMPLIANT,1
2020,Douglas County,Melissa Pelker,NONCOMPLIANT,1
2020,Dupage County,Errica Weatherspoon,COMPLIANT,0
2020,Edgar County,Bob Bowen,NONCOMPLIANT,1
2020,Effingham County,Kathy Melvin,COMPLIANT,0
2020,Fayette County,Dianne Fritscle,COMPLIANT,0
2020,Ford County,Errica Weatherspoon,COMPLIANT,0
2020,Franklin County,Kathy Melvin,COMPLIANT,0
2020,Fulton County,Michael Leathers,NONCOMPLIANT,1
2020,Greene County,Bob Bowen,NONCOMPLIANT,1
2020,Grundy County,Michael Leathers,COMPLIANT,0
2020,Hancock County,Michael Leathers,NONCOMPLIANT,1
2020,Hardin County,Kathy Melvin,COMPLIANT,0
2020,Henderson County,Michael Leathers,NONCOMPLIANT,1
2020,Henry County,Michael Leathers,COMPLIANT,0
2020,Iroquois County,Errica Weatherspoon,NONCOMPLIANT,1
2020,Jackson County,Kathy Melvin,COMPLIANT,0
2020,Jasper County,Dianne Fritscle,NONCOMPLIANT,1
2020,Jefferson County,Kathy Melvin,COMPLIANT,0
2020,Jersey County,Bob Bowen,NONCOMPLIANT,1
2020,Jodaviess County,Michael Leathers,NONCOMPLIANT,1
2020,Kane County,Michael Leathers,COMPLIANT,0
2020,Kankakee County,Errica Weatherspoon,COMPLIANT,0
2020,Kendall County,Michael Leathers,COMPLIANT,0
2020,Knox County,Michael Leathers,NONCOMPLIANT,1
2020,Lake County,Errica Weatherspoon,COMPLIANT,0
2020,Lasalle County,Michael Leathers,NONCOMPLIANT,1
2020,Lawrence County,Kathy Melvin,NONCOMPLIANT,1
2020,Lee County,Michael Leathers,NONCOMPLIANT,1
2020,Livingston County,Errica Weatherspoon,COMPLIANT,0
2020,Logan County,Bob Bowen,NONCOMPLIANT,1
2020,Macon County,Melissa Pelker,COMPLIANT,0
2020,Macoupin County,Bob Bowen,COMPLIANT,0
2020,Madison County,Kathy Melvin,COMPLIANT,0
2020,Marion County,Kathy Melvin,COMPLIANT,0
2020,Marshall County,Michael Leathers,COMPLIANT,0
2020,Mason County,Bob Bowen,NONCOMPLIANT,1
2020,Massac County,Kathy Melvin,NONCOMPLIANT,1
2020,Mcdonough County,Michael Leathers,NONCOMPLIANT,1
2020,Mchenry County,Michael Leathers,COMPLIANT,0
2020,Mclean County,Errica Weatherspoon,COMPLIANT,0
2020,Menard County,Bob Bowen,NONCOMPLIANT,1
2020,Mercer County,Michael Leathers,NONCOMPLIANT,1
2020,Monroe County,Kathy Melvin,COMPLIANT,0
2020,Montgomery County,Bob Bowen,NONCOMPLIANT,1
2020,Morgan County,Bob Bowen,NONCOMPLIANT,1
2020,Moultrie County,Melissa Pelker,COMPLIANT,0
2020,Ogle County,Michael Leathers,NONCOMPLIANT,1
2020,Peoria County,Michael Leathers,COMPLIANT,0
2020,Perry County,Kathy Melvin,NONCOMPLIANT,1
2020,Piatt County,Melissa Pelker,COMPLIANT,0
2020,Pike County,Michael Leathers,NONCOMPLIANT,1
2020,Pulaski County,Kathy Melvin,COMPLIANT,0
2020,Putnam County,Michael Leathers,COMPLIANT,0
2020,Randolph County,Bob Bowen,NONCOMPLIANT,1
2020,Richland County,Kathy Melvin,COMPLIANT,0
2020,Rock Island County,Michael Leathers,NONCOMPLIANT,1
2020,Saline County,Kathy Melvin,COMPLIANT,0
2020,Sangamon County,Bob Bowen,NONCOMPLIANT,1
2020,Schuyler County,Michael Leathers,NONCOMPLIANT,1
2020,Shelby County,Bob Bowen,NONCOMPLIANT,1
2020,St Clair County,Kathy Melvin,COMPLIANT,0
2020,Stark County,Michael Leathers,NONCOMPLIANT,1
2020,Stephenson County,Michael Leathers,COMPLIANT,0
2020,Tazewell County,Errica Weatherspoon,COMPLIANT,0
2020,Vermilion County,Errica Weatherspoon,COMPLIANT,0
2020,Wabash County,Kathy Melvin,NONCOMPLIANT,1
2020,Warren County,Michael Leathers,NONCOMPLIANT,1
2020,Washington County,Dianne Fritscle,COMPLIANT,0
2020,Wayne County,Kathy Melvin,COMPLIANT,0
2020,White County,Kathy Melvin,COMPLIANT,0
2020,Whiteside County,Michael Leathers,COMPLIANT,0
2020,Will County,Errica Weatherspoon,COMPLIANT,0
2020,Williamson County,Kathy Melvin,COMPLIANT,0
2020,Winnebago County,Michael Leathers,COMPLIANT,0
2020,Woodford County,Errica Weatherspoon,COMPLIANT,0
2021,Adams County,Jennifer Delaney,NONCOMPLIANT,1
